Source,Target,Weight
平台,助推,3.643856
平台,跨界,3.643856
平台,出圈,3.643856
景区,精品,3.643856
乡村,助力,3.643856
乡村,劳动,3.643856
乡村,产业,3.643856
企业,居民,3.643856
企业,旅行社,3.643856
现场,风景,3.643856
居民,名录,3.643856
居民,时间,3.643856
居民,风景,3.643856
居民,动态,3.643856
街道,形式,3.643856
设施,文化公园,3.643856
时间,劳动,3.643856
劳动,资源优势,3.643856
劳动,价值,3.643856
劳动,时期,3.643856
文化公园,重点,3.643856
程序,微信,3.625934
市委,印迹,3.621488
创业,教育资源,3.614109
国家,长征,3.599462
国家,职工,3.599462
程序,功能,3.580846
代表,旅行社,3.573467
信息,便民,3.556393
信息,助推,3.556393
信息,跨界,3.556393
信息,出圈,3.556393
红途,上线,3.528379
纪念,印迹,3.514573
传播,印迹,3.514573
强国,矩阵,3.514573
强国,标志,3.514573
工业,印迹,3.514573
专题,基层,3.514573
中共二大,直播,3.514573
基层,电影,3.514573
基层,创业,3.514573
基层,教育资源,3.514573
机关,史料,3.514573
便民,矩阵,3.514573
便民,标志,3.514573
助推,矩阵,3.514573
助推,标志,3.514573
跨界,矩阵,3.514573
跨界,标志,3.514573
出圈,矩阵,3.514573
出圈,标志,3.514573
总书记,来源,3.514573
艺术,音乐,3.506353
程序,平台,3.473931
长征,服务,3.473931
长征,景区,3.473931
长征,区域,3.473931
长征,文物保护,3.473931
景区,游客,3.473931
景区,朋友,3.473931
景区,旅行社,3.473931
景区,仪式,3.473931
国资,历程,3.473931
国资,印记,3.473931
强国,公众,3.473931
助力,职工,3.473931
助力,产业,3.473931
旅游局,旅行社,3.473931
旅游局,风景,3.473931
职工,融合,3.473931
职工,研学,3.473931
职工,朋友,3.473931
职工,团队,3.473931
职工,仪式,3.473931
职工,产业,3.473931
职工,高质量,3.473931
历程,理想信念,3.473931
历程,价值,3.473931
朋友,旅行社,3.473931
朋友,调查,3.473931
街道,高铁,3.473931
团队,专业,3.473931
理想信念,专业,3.473931
空间,产业,3.473931
高铁,游客,3.473931
产业,高质量,3.473931
红途,强国,3.428843
代表,风景,3.421464
社区,企业,3.421464
纪念,价值,3.421464
企业,对口,3.421464
产品,有限公司,3.421464
专题,现代化,3.421464
现代化,创业,3.421464
电影,领域,3.421464
传统,印迹,3.415037
系统,意义,3.37707
文旅,旅行社,3.358454
国资,市委,3.358454
记忆,地铁,3.358454
纪念,意义,3.351074
传播,意义,3.351074
对口,合作,3.334001
旧址,妇女,3.321928
全国,劳动,3.321928
平台,强国,3.321928
会址,直播,3.321928
乡村,交通,3.321928
社会主义,现代化,3.321928
故居,人物,3.321928
足迹,劳动,3.321928
企业,基层,3.321928
现场,成员,3.321928
生动,总书记,3.321928
产品,三明,3.321928
名录,机关,3.321928
现代化,基层,3.321928
现代化,交通,3.321928
党员,阵地,3.321928
国际,世界,3.321928
基层,动态,3.321928
基层,干部,3.321928
基层,领域,3.321928
人物,展厅,3.321928
展厅,重点,3.321928
机关,文艺,3.321928
重点,三明,3.321928
直播,文艺,3.321928
时期,交通,3.321928
总书记,精品,3.321928
总书记,文艺,3.321928
文艺,阵地,3.321928
融合,三明,3.321928
红途,信息,3.315385
程序,公众,3.304006
基地,职工,3.251539
基地,妇女,3.251539
党史,印迹,3.251539
建筑,长征,3.251539
上线,矩阵,3.251539
上线,标志,3.251539
代表,高铁,3.251539
项目,助力,3.251539
项目,团队,3.251539
项目,文物保护,3.251539
长征,专题,3.251539
景区,启动,3.251539
传统,意义,3.251539
国资,纪念,3.251539
国资,传播,3.251539
国资,工业,3.251539
社区,旅行社,3.251539
社区,高铁,3.251539
纪念,地铁,3.251539
龙华,研学,3.251539
传播,调查,3.251539
工业,职工,3.251539
工业,历程,3.251539
工业,团队,3.251539
工业,印记,3.251539
工业,产业,3.251539
工业,专业,3.251539
政课,精彩,3.251539
助力,对口,3.251539
对口,朋友,3.251539
对口,旅行社,3.251539
对口,产业,3.251539
公交,来源,3.251539
职工,有限公司,3.251539
职工,启动,3.251539
职工,来源,3.251539
研学,启动,3.251539
历程,意义,3.251539
打响,调查,3.251539
打响,产业,3.251539
打响,高质量,3.251539
打响,专业,3.251539
意义,印记,3.251539
朋友,有限公司,3.251539
人文,空间,3.251539
中共二大,调查,3.251539
人们,团队,3.251539
人们,印记,3.251539
人们,高铁,3.251539
电影,印记,3.251539
有限公司,高铁,3.251539
区域,用活,3.251539
史料,地铁,3.251539
高铁,来源,3.251539
红途,功能,3.242977
征程,便民,3.234465
征程,助推,3.234465
征程,跨界,3.234465
征程,出圈,3.234465
合作,三明,3.234465
平台,上线,3.228819
乡村,企业,3.228819
乡村,产品,3.228819
乡村,国际,3.228819
企业,产品,3.228819
现场,形式,3.228819
名录,时间,3.228819
设施,重点,3.228819
上线,微信,3.210897
景区,旅游,3.210897
旅游,旅行社,3.210897
红途,成员,3.206451
功能,成员,3.206451
程序,信息,3.193823
公园,艺术,3.184425
研究,影像,3.184425
研究,人物,3.184425
研究,文艺,3.184425
国家,景区,3.184425
群众,党员,3.184425
群众,劳动,3.184425
系统,文化公园,3.184425
系统,价值,3.184425
景区,红色旅游,3.184425
艺术,人物,3.184425
艺术,空间,3.184425
风景,红色旅游,3.184425
仪式,红色旅游,3.184425
功能,上线,3.165809
平台,矩阵,3.158429
代表,企业,3.158429
程序,强国,3.152003
遗址,长征,3.152003
微信,强国,3.152003
微信,便民,3.152003
微信,助推,3.152003
微信,跨界,3.152003
微信,出圈,3.152003
长征,单位,3.152003
传统,国资,3.152003
传统,印记,3.152003
政治,基层,3.152003
旅游局,历史博物馆,3.152003
历程,总书记,3.152003
记者,世界,3.152003
公众,便民,3.152003
公众,助推,3.152003
公众,跨界,3.152003
公众,出圈,3.152003
直播,两地,3.152003
两地,三明,3.152003
三明,优势,3.152003
红途,矩阵,3.136062
红途,标志,3.136062
功能,矩阵,3.136062
功能,标志,3.136062
市委,意义,3.136062
设计,项目,3.099536
设计,有限公司,3.099536
全市,阵地,3.099536
始发地,机关,3.099536
本市,打响,3.099536
本市,矩阵,3.099536
本市,标志,3.099536
红途,微信,3.09542
基地,爱国主义,3.058894
人民,居民,3.058894
公园,专业,3.058894
地标,地铁,3.058894
遗址,设施,3.058894
会址,劳动,3.058894
上线,强国,3.058894
长征,设施,3.058894
条例,高质量,3.058894
景区,乡村,3.058894
景区,企业,3.058894
景区,融合,3.058894
景区,居民,3.058894
景区,产品,3.058894
景区,国际,3.058894
景区,风景,3.058894
国资,生动,3.058894
政治,现代化,3.058894
政治,理论,3.058894
政治,领域,3.058894
乡村,旅行社,3.058894
集团,产品,3.058894
爱国主义,职工,3.058894
海派,居民,3.058894
企业,朋友,3.058894
现场,高铁,3.058894
现场,专业,3.058894
生动,政课,3.058894
政课,课堂,3.058894
居民,融合,3.058894
居民,朋友,3.058894
居民,街道,3.058894
居民,旅行社,3.058894
助力,国际,3.058894
职工,名录,3.058894
职工,设施,3.058894
职工,时间,3.058894
职工,动态,3.058894
职工,精品,3.058894
产品,两地,3.058894
产品,旅行社,3.058894
现代化,理想信念,3.058894
现代化,专业,3.058894
朋友,游客,3.058894
朋友,风景,3.058894
朋友,精品,3.058894
党员,理想信念,3.058894
街道,风景,3.058894
国际,旅行社,3.058894
人物,空间,3.058894
人物,印记,3.058894
设施,区域,3.058894
学生,课堂,3.058894
风景,旅游,3.058894
风景,融合,3.058894
风景,空间,3.058894
理想信念,精品,3.058894
文化公园,游客,3.058894
课堂,专业,3.058894
形式,高铁,3.058894
形式,专业,3.058894
空间,领域,3.058894
空间,文艺,3.058894
重点,区域,3.058894
价值,印记,3.058894
干部,专业,3.058894
精品,高铁,3.058894
精品,仪式,3.058894
产业,文艺,3.058894
文物保护,文艺,3.058894
融合,旅行社,3.058894
信息,强国,3.04182
文物,史料,3.029146
建筑,项目,3.029146
项目,有限公司,3.029146
项目,标志,3.029146
龙华,启动,3.029146
大思,精彩,3.029146
工业,意义,3.029146
对口,有限公司,3.029146
专题,电影,3.029146
专题,创业,3.029146
专题,史料,3.029146
专题,教育资源,3.029146
人们,用活,3.029146
电影,创业,3.029146
电影,教育资源,3.029146
有限公司,标志,3.029146
平台,信息,3.015825
设计,展厅,3
设计,交通,3
全国,机关,3
全国,总书记,3
博物馆,历史博物馆,3
社会主义,历史博物馆,3
社会主义,交通,3
故居,展厅,3
足迹,机关,3
强国,便民,3
强国,助推,3
强国,跨界,3
强国,出圈,3
强国,阵地,3
本市,历史博物馆,3
本市,便民,3
本市,助推,3
本市,跨界,3
本市,出圈,3
历史博物馆,成员,3
历史博物馆,交通,3
展厅,总书记,3
机关,三明,3
机关,直播,3
机关,总书记,3
机关,阵地,3
成员,交通,3
直播,总书记,3
总书记,阵地,3
纪念,历程,2.988504
对口,旅游,2.988504
上线,信息,2.971431
特色,高铁,2.971431
景区,合作,2.971431
职工,合作,2.971431
高铁,合作,2.971431
地铁,工程,2.971431
国家,有限公司,2.962032
艺术,人文,2.962032
艺术,方面,2.962032
对口,优质,2.962032
人们,红色旅游,2.962032
启动,红色旅游,2.962032
红色旅游,线路,2.962032
文旅,朋友,2.943416
文旅,风景,2.943416
文旅,空间,2.943416
市民,高铁,2.943416
平台,功能,2.943416
参观,动态,2.943416
记忆,居民,2.943416
记忆,区域,2.943416
市委,价值,2.943416
文物,总书记,2.929611
红色旅游,游客,2.92139
旧址,设施,2.906891
全国,精品,2.906891
平台,成员,2.906891
爱国主义,强国,2.906891
力量,历程,2.888969
上线,公众,2.888969
宣传,地铁,2.888969
微信,调查,2.888969
景区,旅游局,2.888969
景区,两地,2.888969
政课,学生,2.888969
思政,记者,2.888969
思政,全面,2.888969
旅游局,职工,2.888969
旅游局,高铁,2.888969
旅游局,高质量,2.888969
公交,优势,2.888969
职工,旅游,2.888969
职工,两地,2.888969
职工,优势,2.888969
职工,学生,2.888969
研学,两地,2.888969
研学,记者,2.888969
研学,学生,2.888969
历程,全面,2.888969
历程,印记,2.888969
历程,专业,2.888969
全面,理想信念,2.888969
全面,高铁,2.888969
全面,专业,2.888969
公众,调查,2.888969
公众,文物保护,2.888969
学生,理想信念,2.888969
学生,专业,2.888969
高铁,旅游,2.888969
高铁,两地,2.888969
仪式,两地,2.888969
产业,优势,2.888969
产品,合作,2.878321
建党,印迹,2.862496
研究,总书记,2.862496
国家,机关,2.862496
群众,基层,2.862496
群众,交通,2.862496
群众,阵地,2.862496
系统,阵地,2.862496
世界,优质,2.862496
功能,信息,2.855954
建筑,设计,2.836501
建筑,居民,2.836501
建筑,文物保护,2.836501
公园,方面,2.836501
链接,网页,2.836501
平台,标志,2.836501
代表,居民,2.836501
全市,条例,2.836501
全市,文艺,2.836501
条例,打响,2.836501
景区,线路,2.836501
社区,形式,2.836501
纪念,设施,2.836501
集团,有限公司,2.836501
爱国主义,龙华,2.836501
爱国主义,来源,2.836501
海派,人文,2.836501
传播,价值,2.836501
始发地,人物,2.836501
大思,生动,2.836501
大思,课堂,2.836501
工业,价值,2.836501
居民,对口,2.836501
居民,人们,2.836501
居民,有限公司,2.836501
对口,融合,2.836501
对口,国际,2.836501
对口,风景,2.836501
对口,精品,2.836501
打响,文艺,2.836501
音乐,人文,2.836501
音乐,方面,2.836501
专题,人物,2.836501
专题,动态,2.836501
专题,领域,2.836501
现代化,电影,2.836501
现代化,教育资源,2.836501
意义,人物,2.836501
党员,电影,2.836501
人文,风景,2.836501
人文,文艺,2.836501
中共二大,人物,2.836501
人物,电影,2.836501
人物,方面,2.836501
人们,风景,2.836501
人们,精品,2.836501
人们,文艺,2.836501
电影,动态,2.836501
电影,文艺,2.836501
风景,有限公司,2.836501
有限公司,游客,2.836501
有限公司,精品,2.836501
动态,创业,2.836501
动态,教育资源,2.836501
课堂,精彩,2.836501
价值,方面,2.836501
领域,创业,2.836501
领域,教育资源,2.836501
创业,时期,2.836501
时期,精彩,2.836501
史料,精品,2.836501
史料,文艺,2.836501
精品,线路,2.836501
精品,启动,2.836501
文艺,精彩,2.836501
红色旅游,旅游,2.821855
征程,成员,2.819428
特色,社会主义,2.819428
信息,成员,2.819428
系统,市委,2.805913
平台,微信,2.795859
利用,条例,2.785875
诞生地,始发地,2.785875
红途,公众,2.773491
文旅,旅游,2.773491
功能,微信,2.773491
功能,公众,2.773491
国家,干部,2.769387
党课,党员,2.769387
群众,企业,2.769387
群众,干部,2.769387
国际,优质,2.769387
精品,红色旅游,2.769387
特色,对口,2.749038
信息,矩阵,2.749038
信息,标志,2.749038
基因,印迹,2.736966
场馆,历史博物馆,2.736966
程序,本市,2.736966
设计,景区,2.736966
设计,游客,2.736966
设计,公交,2.736966
设计,朋友,2.736966
设计,团队,2.736966
设计,高铁,2.736966
设计,调查,2.736966
设计,专业,2.736966
全国,职工,2.736966
全国,文物保护,2.736966
中心,便民,2.736966
中心,助推,2.736966
中心,跨界,2.736966
中心,出圈,2.736966
血脉,力量,2.736966
遗址,人物,2.736966
遗址,区域,2.736966
遗址,文物保护,2.736966
会址,阵地,2.736966
力量,足迹,2.736966
力量,劳动,2.736966
力量,理想信念,2.736966
体验,劳动,2.736966
微信,本市,2.736966
博物馆,地铁,2.736966
景区,三明,2.736966
景区,单位,2.736966
景区,展厅,2.736966
景区,机关,2.736966
景区,交通,2.736966
传统,影像,2.736966
传统,价值,2.736966
国资,阵地,2.736966
政治,社会主义,2.736966
单位,劳动,2.736966
单位,文物保护,2.736966
集团,印迹,2.736966
集团,交通,2.736966
集团,世界,2.736966
社会主义,理想信念,2.736966
社会主义,专业,2.736966
故居,创作,2.736966
故居,空间,2.736966
故居,印记,2.736966
足迹,研学,2.736966
足迹,仪式,2.736966
足迹,专业,2.736966
强国,公交,2.736966
强国,文物保护,2.736966
生动,印迹,2.736966
政课,印迹,2.736966
本市,公众,2.736966
本市,调查,2.736966
本市,专业,2.736966
助力,三明,2.736966
助力,机关,2.736966
思政,直播,2.736966
街道,印迹,2.736966
历史博物馆,团队,2.736966
历史博物馆,理想信念,2.736966
历史博物馆,高质量,2.736966
展厅,游客,2.736966
展厅,理想信念,2.736966
展厅,空间,2.736966
展厅,区域,2.736966
展厅,印记,2.736966
展厅,文物保护,2.736966
团队,三明,2.736966
团队,机关,2.736966
团队,成员,2.736966
团队,交通,2.736966
机关,产业,2.736966
机关,高质量,2.736966
机关,文物保护,2.736966
创作,总书记,2.736966
理想信念,成员,2.736966
理想信念,总书记,2.736966
理想信念,交通,2.736966
空间,世界,2.736966
直播,区域,2.736966
直播,文物保护,2.736966
区域,印迹,2.736966
总书记,文物保护,2.736966
印迹,地方,2.736966
交通,旅行社,2.736966
交通,地方,2.736966
产业,世界,2.736966
高质量,三明,2.736966
文物保护,阵地,2.736966
旅游,三明,2.736966
三明,旅行社,2.736966
文旅,对口,2.721024
参观,专题,2.721024
记忆,人们,2.721024
程序,征程,2.708396
微信,信息,2.708396
信息,公众,2.708396
两地,合作,2.708396
文旅,游客,2.680382
党史,国资,2.666576
党史,历程,2.666576
党史,专业,2.666576
初心,始发地,2.666576
方式,来源,2.666576
微信,中共二大,2.666576
社区,全面,2.666576
政治,专题,2.666576
政治,电影,2.666576
政治,创业,2.666576
政治,教育资源,2.666576
大思,全面,2.666576
大思,学生,2.666576
旅游局,对口,2.666576
旅游局,打响,2.666576
旅游局,来源,2.666576
历程,史料,2.666576
记者,方面,2.666576
中共二大,公众,2.666576
全面,有限公司,2.666576
学生,教育资源,2.666576
学生,精彩,2.666576
红途,征程,2.663309
公园,海派,2.643856
公园,名录,2.643856
公园,时间,2.643856
公园,动态,2.643856
公园,文艺,2.643856
品牌,产业,2.643856
品牌,高质量,2.643856
地标,人物,2.643856
血脉,理想信念,2.643856
会址,价值,2.643856
条例,设施,2.643856
条例,文艺,2.643856
乡村,居民,2.643856
乡村,风景,2.643856
乡村,精品,2.643856
爱国主义,设施,2.643856
海派,名录,2.643856
海派,动态,2.643856
企业,国际,2.643856
企业,风景,2.643856
企业,干部,2.643856
现场,居民,2.643856
现场,理论,2.643856
居民,产品,2.643856
居民,国际,2.643856
居民,形式,2.643856
居民,精品,2.643856
影像,内容,2.643856
音乐,文艺,2.643856
产品,国际,2.643856
产品,风景,2.643856
产品,领域,2.643856
名录,动态,2.643856
名录,文艺,2.643856
现代化,动态,2.643856
现代化,干部,2.643856
现代化,领域,2.643856
党员,干部,2.643856
国际,风景,2.643856
人物,内容,2.643856
人物,形式,2.643856
人物,价值,2.643856
人物,领域,2.643856
人物,时期,2.643856
理论,课堂,2.643856
理论,资源优势,2.643856
理论,形式,2.643856
理论,干部,2.643856
理论,文艺,2.643856
时间,动态,2.643856
风景,形式,2.643856
风景,精品,2.643856
文化公园,内容,2.643856
动态,领域,2.643856
形式,资源优势,2.643856
重点,干部,2.643856
价值,文艺,2.643856
时期,资源优势,2.643856
时期,文艺,2.643856
精品,游客,2.643856
精品,文艺,2.643856
市民,便民,2.621488
市民,助推,2.621488
市民,跨界,2.621488
市民,出圈,2.621488
功能,强国,2.621488
社会,基层,2.621488
参观,基层,2.621488
参观,世界,2.621488
记忆,总书记,2.621488
市委,三明,2.621488
市委,历史博物馆,2.621488
代表,社区,2.614109
代表,对口,2.614109
全市,打响,2.614109
始发地,史料,2.614109
建党,国资,2.599462
体验,群众,2.599462
研究,文物保护,2.599462
国家,研学,2.599462
国家,团队,2.599462
国家,理想信念,2.599462
国家,高质量,2.599462
国家,文物保护,2.599462
国家,专业,2.599462
党课,公交,2.599462
党课,专业,2.599462
长征,系统,2.599462
群众,全面,2.599462
群众,高铁,2.599462
系统,历程,2.599462
系统,印记,2.599462
艺术,创作,2.599462
艺术,专业,2.599462
职工,红色旅游,2.599462
朋友,红色旅游,2.599462
空间,红色旅游,2.599462
印记,红色旅游,2.599462
高铁,红色旅游,2.599462
高铁,优质,2.599462
红色旅游,旅行社,2.599462
优质,地方,2.599462
旧址,故居,2.584963
旧址,机关,2.584963
强国,本市,2.584963
党史,价值,2.573467
线路,游客,2.573467
思想,政治,2.567041
传统,历程,2.567041
工作,饭店,2.556393
工作,妇女,2.556393
工作,文化公园,2.556393
上线,征程,2.556393
征程,强国,2.556393
征程,文艺,2.556393
特色,景区,2.556393
乡村,合作,2.556393
研学,合作,2.556393
设施,工程,2.556393
文化公园,工程,2.556393
区域,工程,2.556393
仪式,合作,2.556393
产业,合作,2.556393
文物保护,工程,2.556393
文艺,工程,2.556393
合作,旅行社,2.556393
文旅,乡村,2.528379
文旅,企业,2.528379
文旅,产品,2.528379
公园,功能,2.528379
功能,音乐,2.528379
记忆,名录,2.528379
市委,产品,2.528379
利用,文物保护,2.522841
主题,妇女,2.514573
党史,直播,2.514573
建筑,故居,2.514573
建筑,展厅,2.514573
设计,标志,2.514573
全国,史料,2.514573
全国,来源,2.514573
遗址,纪念,2.514573
代表,展厅,2.514573
代表,成员,2.514573
代表,交通,2.514573
体验,电影,2.514573
全市,直播,2.514573
项目,单位,2.514573
项目,展厅,2.514573
景区,发展,2.514573
思想,创业,2.514573
思想,教育资源,2.514573
传统,传播,2.514573
传统,工业,2.514573
社区,基层,2.514573
社区,印迹,2.514573
纪念,直播,2.514573
单位,有限公司,2.514573
社会主义,创业,2.514573
社会主义,教育资源,2.514573
故居,人文,2.514573
故居,电影,2.514573
足迹,人们,2.514573
足迹,方面,2.514573
足迹,精彩,2.514573
传播,总书记,2.514573
始发地,直播,2.514573
始发地,阵地,2.514573
强国,人们,2.514573
强国,来源,2.514573
大思,印迹,2.514573
工业,三明,2.514573
工业,历史博物馆,2.514573
工业,机关,2.514573
工业,成员,2.514573
工业,交通,2.514573
工业,世界,2.514573
对口,机关,2.514573
对口,交通,2.514573
打响,历史博物馆,2.514573
打响,世界,2.514573
专题,三明,2.514573
专题,展厅,2.514573
专题,总书记,2.514573
意义,总书记,2.514573
人文,展厅,2.514573
人文,阵地,2.514573
中共二大,阵地,2.514573
历史博物馆,史料,2.514573
历史博物馆,来源,2.514573
人们,机关,2.514573
人们,直播,2.514573
